# yyyy; mm; dd; hour; min; seg; altura; periodo; direcao
2016;1;12;18;37;0;0.92;11.11;150.5
2016;1;12;19;7;0;0.93;11.76;157.5
2016;1;12;19;37;0;1;6.25;119.5
2016;1;12;20;7;0;0.98;9.09;128
2016;1;12;20;37;0;0.99;6.25;118.1
2016;1;12;21;7;0;1.05;10;142
2016;1;12;21;37;0;1.06;9.09;129.4
2016;1;12;22;7;0;1.01;8.33;125.2
2016;1;12;22;37;0;0.98;9.09;119.5
2016;1;12;23;7;0;0.98;9.09;132.2
2016;1;12;23;37;0;0.98;11.76;149.1
2016;1;13;0;7;0;0.96;9.09;123.8
2016;1;13;0;37;0;0.97;8.33;119.5
2016;1;13;1;7;0;0.9;9.09;129.4
2016;1;13;1;37;0;0.93;7.69;119.5
2016;1;13;2;7;0;0.86;9.09;126.6
2016;1;13;2;37;0;0.9;9.09;125.2
2016;1;13;3;7;0;0.87;11.76;142
2016;1;13;3;37;0;0.87;8.33;119.5
2016;1;13;4;7;0;0.88;8.33;111.1
2016;1;13;4;37;0;0.88;12.5;149.1
2016;1;13;5;7;0;0.82;12.5;151.9
2016;1;13;5;37;0;0.85;13.33;149.1
2016;1;13;6;7;0;0.89;3.85;87.2
2016;1;13;6;37;0;0.88;10;129.4
2016;1;13;7;7;0;0.84;13.33;153.3
2016;1;13;7;37;0;0.78;12.5;157.5
2016;1;13;8;7;0;0.8;13.33;157.5
2016;1;13;8;37;0;0.79;9.09;122.3
2016;1;13;9;7;0;0.8;13.33;154.7
2016;1;13;9;37;0;0.83;13.33;153.3
2016;1;13;10;7;0;0.77;13.33;157.5
2016;1;13;10;37;0;0.77;8.33;120.9
2016;1;13;11;7;0;0.77;13.33;157.5
2016;1;13;11;37;0;0.8;13.33;158.9
2016;1;13;12;7;0;0.8;11.76;158.9
2016;1;13;12;37;0;0.76;11.76;158.9
2016;1;13;13;7;0;0.78;12.5;158.9
2016;1;13;13;37;0;0.84;12.5;158.9
2016;1;13;14;7;0;0.82;12.5;156.1
2016;1;13;14;37;0;0.85;12.5;156.1
2016;1;13;15;7;0;0.86;11.76;157.5
2016;1;13;15;37;0;0.86;11.76;153.3
2016;1;13;16;7;0;1.09;11.11;163.1
2016;1;13;16;37;0;1.23;11.11;163.1
2016;1;13;17;7;0;1.38;11.76;154.7
2016;1;13;17;37;0;1.31;4.17;181.4
2016;1;13;18;7;0;1.36;4.35;184.2
2016;1;13;18;37;0;1.47;4.35;178.6
2016;1;13;19;7;0;1.54;4.76;178.6
2016;1;13;19;37;0;1.51;4.76;173
2016;1;13;20;7;0;1.59;5;178.6
2016;1;13;20;37;0;1.65;5.26;184.2
2016;1;13;21;7;0;1.67;5;170.2
2016;1;13;21;37;0;1.69;5.26;170.2
2016;1;13;22;7;0;1.74;5.56;171.6
2016;1;13;22;37;0;1.77;5.56;177.2
2016;1;13;23;7;0;1.7;5.88;171.6
2016;1;13;23;37;0;1.79;6.25;165.9
2016;1;14;0;7;0;1.68;6.25;173
2016;1;14;0;37;0;1.69;6.25;171.6
2016;1;14;1;7;0;1.69;6.25;164.5
2016;1;14;1;37;0;1.73;6.25;170.2
2016;1;14;2;7;0;1.74;6.25;160.3
2016;1;14;2;37;0;1.69;6.67;165.9
2016;1;14;3;7;0;1.68;6.25;165.9
2016;1;14;3;37;0;1.62;7.14;164.5
2016;1;14;4;7;0;1.68;6.25;164.5
2016;1;14;4;37;0;1.61;5.56;161.7
2016;1;14;5;7;0;1.68;6.67;161.7
2016;1;14;5;37;0;1.53;4.55;153.3
2016;1;14;6;7;0;1.46;6.67;160.3
2016;1;14;6;37;0;1.48;7.14;163.1
2016;1;14;7;7;0;1.46;5.56;168.8
2016;1;14;7;37;0;1.47;5.26;160.3
2016;1;14;15;7;0;1.58;9.09;158.9
2016;1;14;15;37;0;1.63;12.5;158.9
2016;1;14;16;7;0;1.77;11.76;161.7
2016;1;14;16;37;0;1.8;11.11;163.1
2016;1;14;17;7;0;1.95;11.11;161.7
2016;1;14;17;37;0;1.96;12.5;164.5
2016;1;14;18;7;0;2.11;11.11;158.9
2016;1;14;18;37;0;1.98;11.76;164.5
2016;1;14;19;7;0;2.21;12.5;158.9
2016;1;14;19;37;0;2.18;12.5;160.3
2016;1;14;20;7;0;2.04;12.5;161.7
2016;1;14;20;37;0;1.98;13.33;157.5
2016;1;14;21;7;0;2.03;11.76;160.3
2016;1;14;21;37;0;1.86;12.5;160.3
2016;1;14;22;7;0;2.02;11.76;158.9
2016;1;14;22;37;0;1.97;13.33;156.1
2016;1;14;23;7;0;2.02;12.5;157.5
2016;1;14;23;37;0;2.09;11.11;157.5
2016;1;15;0;7;0;1.99;12.5;154.7
2016;1;15;0;37;0;2;11.76;154.7
2016;1;15;1;7;0;1.94;11.76;153.3
2016;1;15;1;37;0;1.9;12.5;154.7
2016;1;15;2;7;0;1.79;11.76;158.9
2016;1;15;2;37;0;1.59;12.5;156.1
2016;1;15;3;7;0;1.5;11.76;153.3
2016;1;15;3;37;0;1.69;11.11;149.1
2016;1;15;4;7;0;1.55;11.76;157.5
2016;1;15;4;37;0;1.66;13.33;156.1
2016;1;15;5;7;0;1.58;11.76;156.1
2016;1;15;5;37;0;1.53;13.33;151.9
2016;1;15;6;7;0;1.48;11.76;157.5
2016;1;15;6;37;0;1.48;12.5;156.1
2016;1;15;7;7;0;1.57;13.33;147.7
2016;1;15;7;37;0;1.44;13.33;153.3
2016;1;15;8;7;0;1.47;13.33;156.1
2016;1;15;8;37;0;1.54;12.5;157.5
2016;1;15;9;7;0;1.59;12.5;156.1
2016;1;15;9;37;0;1.4;11.76;154.7
2016;1;15;10;7;0;1.46;13.33;153.3
2016;1;15;10;37;0;1.43;13.33;149.1
2016;1;15;11;7;0;1.45;12.5;153.3
2016;1;15;11;37;0;1.47;12.5;154.7
2016;1;15;12;7;0;1.59;12.5;154.7
2016;1;15;12;37;0;1.37;12.5;156.1
2016;1;15;13;7;0;1.3;12.5;154.7
2016;1;15;13;37;0;1.26;12.5;151.9
2016;1;15;14;7;0;1.26;11.76;158.9
2016;1;15;14;37;0;1.21;13.33;157.5
2016;1;15;15;7;0;1.29;12.5;158.9
2016;1;15;15;37;0;1.26;12.5;157.5
2016;1;15;16;7;0;1.21;12.5;158.9
2016;1;15;16;37;0;1.39;11.76;158.9
2016;1;15;17;7;0;1.34;11.76;157.5
2016;1;15;17;37;0;1.18;12.5;156.1
2016;1;15;18;7;0;1.22;13.33;154.7
2016;1;15;18;37;0;1.35;13.33;153.3
2016;1;15;19;7;0;1.16;14.29;153.3
2016;1;15;19;37;0;1.03;13.33;151.9
2016;1;15;20;7;0;1.02;14.29;149.1
2016;1;15;20;37;0;1.04;12.5;158.9
2016;1;15;21;7;0;0.99;13.33;150.5
2016;1;15;21;37;0;1.09;13.33;153.3
2016;1;15;22;7;0;1.09;13.33;153.3
2016;1;15;22;37;0;0.95;12.5;154.7
2016;1;15;23;7;0;0.99;13.33;151.9
2016;1;15;23;37;0;1.04;13.33;151.9
2016;1;16;0;7;0;1.02;12.5;150.5
2016;1;16;0;37;0;1.04;13.33;151.9
2016;1;16;1;7;0;1.05;11.76;154.7
2016;1;16;1;37;0;1;13.33;147.7
2016;1;16;2;7;0;0.94;13.33;149.1
2016;1;16;2;37;0;1.01;13.33;151.9
2016;1;16;3;7;0;0.86;12.5;154.7
2016;1;16;3;37;0;0.89;13.33;150.5
2016;1;16;4;7;0;0.88;13.33;150.5
2016;1;16;4;37;0;0.72;13.33;150.5
2016;1;16;5;7;0;0.82;12.5;156.1
2016;1;16;5;37;0;0.8;12.5;157.5
2016;1;16;6;7;0;0.74;12.5;151.9
2016;1;16;6;37;0;0.75;12.5;156.1
2016;1;16;7;7;0;0.73;12.5;158.9
2016;1;16;7;37;0;0.76;11.11;157.5
2016;1;16;8;7;0;0.73;11.76;158.9
2016;1;16;8;37;0;0.7;12.5;154.7
2016;1;16;9;7;0;0.66;11.76;160.3
2016;1;16;9;37;0;0.67;11.76;158.9
2016;1;16;10;7;0;0.69;11.76;160.3
2016;1;16;10;37;0;0.79;11.11;156.1
2016;1;16;11;7;0;0.87;11.11;157.5
2016;1;16;11;37;0;0.78;11.76;156.1
2016;1;16;12;7;0;0.78;10.53;156.1
2016;1;16;12;37;0;0.84;11.76;153.3
2016;1;16;13;7;0;0.82;10.53;157.5
2016;1;16;13;37;0;0.84;11.76;151.9
2016;1;16;14;7;0;0.92;11.76;153.3
2016;1;16;14;37;0;0.97;11.76;150.5
2016;1;16;15;7;0;0.94;11.76;156.1
2016;1;16;15;37;0;0.94;11.76;160.3
2016;1;16;16;7;0;1.06;11.11;154.7
2016;1;16;16;37;0;1.09;11.11;156.1
2016;1;16;17;7;0;1.14;11.76;154.7
2016;1;16;17;37;0;1.16;11.11;158.9
2016;1;16;18;7;0;1.23;11.76;156.1
2016;1;16;18;37;0;1.24;11.76;157.5
2016;1;16;19;7;0;1.17;11.76;154.7
2016;1;16;19;37;0;1.09;11.11;154.7
2016;1;16;20;7;0;1.26;11.11;154.7
2016;1;16;20;37;0;1.11;11.76;151.9
2016;1;16;21;7;0;1.15;11.11;160.3
2016;1;16;21;37;0;1.17;11.76;156.1
2016;1;16;22;7;0;1.2;11.11;157.5
2016;1;16;22;37;0;1.1;11.76;156.1
