# yyyy; mm; dd; hour; min; seg; altura; periodo; direcao
2002;1;28;3;0;0;1.51;10;121.9
2002;1;28;4;0;0;1.45;9.6;128.9
2002;1;28;5;0;0;1.32;9.7;131.7
2002;1;28;6;0;0;1.37;9.4;128.9
2002;1;28;7;0;0;1.36;9.4;130.3
2002;1;28;8;0;0;1.24;9.3;133.1
2002;1;28;9;0;0;1.23;9.2;124.7
2002;1;28;10;0;0;1.3;9.2;107.8
2002;1;28;11;0;0;1.21;8.9;110.6
2002;1;28;12;0;0;1.22;9;113.4
2002;1;28;13;0;0;1.07;9;112
2002;1;28;14;0;0;1.07;8.7;121.9
2002;1;28;15;0;0;1.09;8.4;121.9
2002;1;28;16;0;0;1.02;10.4;127.5
2002;1;28;17;0;0;0.92;9.6;110.6
2002;1;29;3;0;0;1;9.3;110.6
2002;1;29;4;0;0;1;9.2;123.3
2002;1;29;5;0;0;0.99;8.9;121.8
2002;1;29;6;0;0;1.04;9;99.3
2002;1;29;7;0;0;0.94;8.8;119
2002;1;29;8;0;0;1.07;8.8;123.3
2002;1;29;9;0;0;1.01;8.8;112
2002;1;29;10;0;0;1.08;8.6;127.5
2002;1;29;11;0;0;1.02;8.2;106.4
2002;1;29;12;0;0;1.05;8.2;112
2002;1;29;13;0;0;1.09;8.3;126.1
2002;1;29;14;0;0;1.1;8.1;150
2002;1;29;15;0;0;1.08;8.5;120.4
2002;1;29;16;0;0;1.06;8.4;76.8
2002;1;29;17;0;0;1.08;8.4;102.2
2002;1;29;18;0;0;0.92;8.7;114.8
2002;1;29;19;0;0;0.94;8.9;92.3
2002;1;29;20;0;0;0.88;9.1;93.7
2002;1;29;21;0;0;0.87;9.3;103.6
2002;1;29;22;0;0;0.81;10.1;102.2
2002;1;29;23;0;0;0.82;10.1;93.7
2002;1;30;0;0;0;0.83;9.8;100.8
2002;1;30;1;0;0;0.82;10.4;86.7
2002;1;30;2;0;0;0.8;10.5;96.5
2002;1;30;3;0;0;0.78;10.7;90.9
2002;1;30;4;0;0;0.8;10.9;114.8
2002;1;30;5;0;0;0.77;11.1;89.5
2002;1;30;6;0;0;0.82;11.1;112
2002;1;30;7;0;0;0.76;11.1;95.1
2002;1;30;8;0;0;0.75;10.7;107.8
2002;1;30;9;0;0;0.83;9.9;107.8
2002;1;30;10;0;0;0.79;9.5;103.6
2002;1;30;11;0;0;0.8;10.2;110.6
2002;1;30;12;0;0;0.85;9.6;103.6
2002;1;30;13;0;0;0.91;9.5;79.7
2002;1;30;14;0;0;0.86;10.4;74
2002;1;30;15;0;0;0.89;9.7;89.5
2002;1;30;16;0;0;0.82;10.1;90.9
2002;1;30;17;0;0;0.83;10.4;82.5
2002;1;30;18;0;0;0.86;10.3;79.7
2002;1;30;19;0;0;0.82;10.4;72.6
2002;1;30;20;0;0;0.86;10;76.8
2002;1;30;21;0;0;0.88;10.8;83.9
2002;1;30;22;0;0;0.87;11.2;88.1
