# yyyy; mm; dd; hour; min; seg; altura; periodo; direcao
2015;1;27;20;33;0;0.422;3.17;84.5
2015;1;27;20;40;0;0.393;3.17;84.8
2015;1;27;21;6;0;0.41;3.17;88.3
2015;1;27;21;16;0;0.407;3.17;100.2
2015;1;27;21;19;0;0.414;3.17;97.9
2015;1;27;22;29;0;0.415;3.17;98.1
2015;1;28;0;3;0;0.442;3.17;101.2
2015;1;28;0;7;0;0.461;3.17;96.4
2015;1;28;0;18;0;0.484;3.17;95.4
2015;1;28;0;22;0;0.503;3.17;94.9
2015;1;28;0;25;0;0.521;3.17;95.1
2015;1;28;0;29;0;0.543;3.17;95.9
2015;1;28;0;36;0;0.55;3.17;96.2
2015;1;28;0;40;0;0.567;3.17;96.2
2015;1;28;0;43;0;0.564;3.33;97.2
2015;1;28;0;46;0;0.565;3.33;98.1
2015;1;28;0;53;0;0.567;3.33;98.3
2015;1;28;0;57;0;0.557;3.33;99.2
2015;1;28;1;6;0;0.558;3.57;98.3
2015;1;28;1;13;0;0.552;3.51;98.6
2015;1;28;1;19;0;0.548;3.51;98.4
2015;1;28;1;22;0;0.543;3.51;97.9
2015;1;28;6;49;0;0.51;3.51;98.6
2015;1;28;7;40;0;0.469;3.51;98.9
2015;1;28;7;47;0;0.42;3.51;97.9
2015;1;28;7;51;0;0.392;3.51;98.6
2015;1;28;8;21;0;0.333;3.45;97.6
2015;1;28;8;24;0;0.274;3.45;99.6
2015;1;28;8;28;0;0.22;3.45;100.7
2015;1;28;9;40;0;0.173;3.17;88
2015;1;28;11;56;0;0.173;3.17;84.5
2015;1;28;11;59;0;0.178;3.17;82.7
2015;1;28;12;3;0;0.182;3.17;82.7
2015;1;28;12;6;0;0.189;3.17;80.6
2015;1;28;12;12;0;0.197;3.17;74.8
2015;1;28;12;15;0;0.2;3.17;72.8
2015;1;28;12;18;0;0.203;3.17;64.7
2015;1;28;12;22;0;0.162;3.17;86.8
2015;1;28;12;29;0;0.157;3.17;88.4
2015;1;28;12;33;0;0.151;3.17;90.8
2015;1;28;12;36;0;0.147;3.17;89.3
2015;1;28;12;40;0;0.137;3.17;91.1
2015;1;28;12;43;0;0.127;3.17;91.3
2015;1;28;12;48;0;0.124;3.17;92.2
2015;1;28;12;52;0;0.119;3.17;92.1
2015;1;28;12;56;0;0.113;3.17;95.7
2015;1;28;13;3;0;0.107;3.17;93.2
2015;1;28;17;24;0;0.107;22.22;212.8
2015;1;28;17;28;0;0.107;25;292
2015;1;28;17;33;0;0.112;25;41.5
2015;1;28;17;37;0;0.114;25;40.7
2015;1;28;17;54;0;0.129;25;35.2
2015;1;28;17;58;0;0.139;25;43.1
2015;1;28;18;3;0;0.146;25;46.9
2015;1;28;18;6;0;0.157;25;45.9
2015;1;28;18;10;0;0.175;25;40.5
2015;1;28;18;13;0;0.185;25;47.2
2015;1;28;18;16;0;0.199;25;47.2
