yyyy, mm, dd, hour, min, seg, altura, periodo, direcao
2013, 12, 17, 13, 25, 0, 0.54, 7.4, 140.2
2013, 12, 17, 14, 25, 0, 0.55, 7.4, 131.7
2013, 12, 17, 15, 25, 0, 0.65, 7.7, 135.8
2013, 12, 17, 16, 25, 0, 0.62, 4.1, 137.1
2013, 12, 17, 17, 25, 0, 0.67, 4.2, 133.7
2013, 12, 17, 18, 25, 0, 0.6, 4.0, 134.5
2013, 12, 17, 19, 25, 0, 0.62, 7.1, 134.4
2013, 12, 17, 20, 25, 0, 0.63, 4.2, 131.2
2013, 12, 17, 21, 25, 0, 0.72, 7.1, 131.7
2013, 12, 17, 22, 25, 0, 0.64, 6.3, 132.1
2013, 12, 17, 23, 25, 0, 0.62, 4.7, 135.7
2013, 12, 18, 0, 25, 0, 0.61, 7.1, 140.3
2013, 12, 18, 1, 25, 0, 0.61, 7.1, 146.6
2013, 12, 18, 2, 25, 0, 0.64, 4.7, 149.7
2013, 12, 18, 3, 25, 0, 0.73, 6.5, 153.4
2013, 12, 18, 4, 25, 0, 0.75, 3.6, 156.3
2013, 12, 18, 5, 25, 0, 0.83, 4.8, 146.8
2013, 12, 18, 6, 25, 0, 1.0, 4.8, 143.9
2013, 12, 18, 7, 25, 0, 0.96, 4.8, 142.4
2013, 12, 18, 8, 25, 0, 1.1, 5.0, 135.3
2013, 12, 18, 9, 25, 0, 1.21, 5.7, 136.4
2013, 12, 18, 10, 25, 0, 1.1, 6.5, 135.9
2013, 12, 18, 11, 25, 0, 1.02, 6.9, 133.1
2013, 12, 18, 12, 25, 0, 0.92, 7.1, 134.9
2013, 12, 18, 13, 25, 0, 0.81, 6.9, 137.0
2013, 12, 18, 14, 25, 0, 0.86, 6.9, 143.6
2013, 12, 18, 15, 25, 0, 0.92, 6.7, 146.4
2013, 12, 18, 16, 25, 0, 0.94, 6.5, 148.5
2013, 12, 18, 17, 25, 0, 0.81, 6.7, 147.0
2013, 12, 18, 18, 25, 0, 0.74, 7.1, 149.4
2013, 12, 18, 19, 25, 0, 0.78, 6.7, 148.1
2013, 12, 18, 20, 25, 0, 0.73, 7.1, 146.5
2013, 12, 18, 21, 25, 0, 0.85, 6.7, 146.1
2013, 12, 18, 22, 25, 0, 0.75, 7.4, 149.6
2013, 12, 18, 23, 25, 0, 0.78, 7.1, 144.9
2013, 12, 19, 0, 25, 0, 0.78, 6.7, 146.0
2013, 12, 19, 1, 25, 0, 0.77, 14.3, 147.2
2013, 12, 19, 2, 25, 0, 0.77, 7.1, 144.9
2013, 12, 19, 3, 25, 0, 0.79, 13.3, 149.5
2013, 12, 19, 4, 25, 0, 0.9, 13.3, 146.7
2013, 12, 19, 5, 25, 0, 0.93, 12.5, 147.9
2013, 12, 19, 6, 25, 0, 0.99, 12.5, 148.7
2013, 12, 19, 7, 25, 0, 0.86, 12.5, 145.8
2013, 12, 19, 8, 25, 0, 0.81, 12.5, 143.6
2013, 12, 19, 9, 25, 0, 0.88, 11.8, 142.4
2013, 12, 19, 10, 25, 0, 0.93, 14.3, 141.7
2013, 12, 19, 11, 25, 0, 0.83, 13.3, 138.7
2013, 12, 19, 12, 25, 0, 0.77, 13.3, 139.7
2013, 12, 19, 13, 25, 0, 0.77, 13.3, 138.7
2013, 12, 19, 14, 25, 0, 0.76, 13.3, 143.0
2013, 12, 19, 15, 25, 0, 0.68, 13.3, 144.3
2013, 12, 19, 16, 25, 0, 0.69, 13.3, 149.6
2013, 12, 19, 17, 25, 0, 0.71, 12.5, 152.4
2013, 12, 19, 18, 25, 0, 0.75, 12.5, 149.8
2013, 12, 19, 19, 25, 0, 0.72, 12.5, 147.9
2013, 12, 19, 20, 25, 0, 0.72, 12.5, 154.1
2013, 12, 19, 21, 25, 0, 0.76, 11.8, 148.0
2013, 12, 19, 22, 25, 0, 0.9, 12.5, 149.4
2013, 12, 19, 23, 25, 0, 0.98, 11.8, 146.6
2013, 12, 20, 0, 25, 0, 1.01, 4.7, 144.5
2013, 12, 20, 1, 25, 0, 0.87, 11.1, 143.4
2013, 12, 20, 2, 25, 0, 0.82, 11.1, 142.5
2013, 12, 20, 3, 25, 0, 0.87, 4.3, 140.9
2013, 12, 20, 4, 25, 0, 0.97, 4.7, 137.5
2013, 12, 20, 5, 25, 0, 1.06, 4.5, 135.5
2013, 12, 20, 6, 25, 0, 0.95, 4.4, 136.7
2013, 12, 20, 7, 25, 0, 1.02, 9.1, 132.7
2013, 12, 20, 8, 25, 0, 1.06, 9.5, 128.0
2013, 12, 20, 9, 25, 0, 0.97, 9.1, 133.4
2013, 12, 20, 10, 25, 0, 0.98, 5.9, 135.1
2013, 12, 20, 11, 25, 0, 0.98, 8.0, 139.0
2013, 12, 20, 12, 25, 0, 1.02, 5.3, 135.3
2013, 12, 20, 13, 25, 0, 0.9, 5.9, 135.5
2013, 12, 20, 14, 25, 0, 0.74, 5.9, 134.4
2013, 12, 20, 15, 25, 0, 0.87, 5.9, 135.6
2013, 12, 20, 16, 25, 0, 0.85, 5.7, 138.7
2013, 12, 20, 17, 25, 0, 0.87, 6.3, 144.1
2013, 12, 20, 18, 25, 0, 0.9, 5.4, 144.8
2013, 12, 20, 19, 25, 0, 0.83, 11.8, 148.5
2013, 12, 20, 20, 25, 0, 0.81, 5.4, 143.8
2013, 12, 20, 21, 25, 0, 0.79, 5.9, 146.5
2013, 12, 20, 22, 25, 0, 0.8, 6.3, 150.1
2013, 12, 20, 23, 25, 0, 0.83, 6.3, 151.2
2013, 12, 21, 0, 25, 0, 0.9, 6.1, 153.4
2013, 12, 21, 1, 25, 0, 0.93, 3.9, 151.4
2013, 12, 21, 2, 25, 0, 0.96, 5.9, 145.8
2013, 12, 21, 3, 25, 0, 0.98, 7.7, 147.3
2013, 12, 21, 4, 25, 0, 0.91, 4.3, 145.9
2013, 12, 21, 5, 25, 0, 0.86, 4.2, 147.3
2013, 12, 21, 6, 25, 0, 0.97, 5.4, 152.2
2013, 12, 21, 7, 25, 0, 0.98, 6.1, 155.2
2013, 12, 21, 8, 25, 0, 1.08, 5.6, 152.5
2013, 12, 21, 9, 25, 0, 1.09, 8.7, 152.0
2013, 12, 21, 10, 25, 0, 1.08, 5.4, 150.6
2013, 12, 21, 11, 25, 0, 1.07, 5.3, 149.0
2013, 12, 21, 12, 25, 0, 1.12, 6.5, 158.5
2013, 12, 21, 13, 25, 0, 1.09, 6.1, 163.9
2013, 12, 21, 14, 25, 0, 1.14, 6.5, 171.1
2013, 12, 21, 15, 25, 0, 1.14, 4.0, 157.8
2013, 12, 21, 16, 25, 0, 1.2, 6.9, 162.5
2013, 12, 21, 17, 25, 0, 1.22, 6.3, 160.2
2013, 12, 21, 18, 25, 0, 1.2, 5.7, 159.9
2013, 12, 21, 19, 25, 0, 1.19, 11.1, 162.1
2013, 12, 21, 20, 25, 0, 1.33, 4.4, 169.5
2013, 12, 21, 21, 25, 0, 1.53, 6.7, 176.3
2013, 12, 21, 22, 25, 0, 1.54, 5.7, 169.3
2013, 12, 21, 23, 25, 0, 1.61, 5.3, 175.9
2013, 12, 22, 0, 25, 0, 1.6, 5.6, 177.9
2013, 12, 22, 1, 25, 0, 1.63, 5.6, 169.8
2013, 12, 22, 2, 25, 0, 1.62, 5.6, 174.6
2013, 12, 22, 3, 25, 0, 1.57, 5.4, 174.8
2013, 12, 22, 4, 25, 0, 1.53, 8.3, 172.3
2013, 12, 22, 5, 25, 0, 1.68, 5.6, 175.9
2013, 12, 22, 6, 25, 0, 1.58, 5.9, 168.4
2013, 12, 22, 7, 25, 0, 1.71, 7.7, 166.9
2013, 12, 22, 8, 25, 0, 1.62, 8.3, 173.8
2013, 12, 22, 9, 25, 0, 1.62, 5.6, 170.1
2013, 12, 22, 10, 25, 0, 1.71, 6.3, 168.6
2013, 12, 22, 11, 25, 0, 1.69, 6.1, 170.2
2013, 12, 22, 12, 25, 0, 1.64, 6.3, 167.8
2013, 12, 22, 13, 25, 0, 1.69, 5.3, 170.8
2013, 12, 22, 14, 25, 0, 1.45, 6.5, 171.6
2013, 12, 22, 15, 25, 0, 1.42, 7.7, 174.3
2013, 12, 22, 16, 25, 0, 1.44, 5.9, 179.2
2013, 12, 22, 17, 25, 0, 1.39, 6.5, 175.7
2013, 12, 22, 18, 25, 0, 1.49, 5.7, 171.7
2013, 12, 22, 19, 25, 0, 1.57, 8.7, 171.0
2013, 12, 22, 20, 25, 0, 1.38, 7.1, 166.4
2013, 12, 22, 21, 25, 0, 1.36, 5.4, 165.4
